Date,Details,Amount,Transaction ID
01/09/2026,CREDIT SALARY,30000.00,TXN001
02/09/2026,Swiggy Order,350.00,TXN002
03/09/2026,Uber Technologies,180.00,TXN003
04/09/2026,AMAZON SELLER,299.00,TXN004
05/09/2026,Zomato Online Food,520.00,TXN005
06/09/2026,BESCOM Electricity,1200.00,TXN006
09/09/2026,Metro Rail Card,500.00,TXN007
10/09/2026,Flipkart Internet,750.00,TXN008
12/09/2026,Petrol Pump,800.00,TXN009
13/09/2026,University Fee,500.00,TXN010
14/09/2026,Myntra Fashion,699.00,TXN011
15/09/2026,Freelance Payment,5000.00,TXN012
16/09/2026,Swiggy Food Delivery,450.00,TXN013
17/09/2026,Rapido Bike,95.00,TXN014
18/09/2026,Internet Provider,699.00,TXN015
19/09/2026,Amazon Electronics,1499.00,TXN016
20/09/2026,PVR Cinemas,350.00,TXN017
21/09/2026,Restaurant Dinner,4500.00,TXN018
