Date,Description,Amount,Type
1/9/2026,Salary Received,30000,Credit
2/9/2026,Swiggy - Food,350,Debit
3/9/2026,Uber - Ride,180,Debit
4/9/2026,Amazon - Shopping,299,Debit
5/9/2026,Zomato - Pizza,520,Debit
6/9/2026,Electricity - BESCOM,1200,Debit
7/9/2026,Netflix Subscription,499,Debit
8/9/2026,Metro Card,500,Debit
9/9/2026,Flipkart - Books,750,Debit
10/9/2026,Petrol Pump,800,Debit
11/9/2026,College Fee,500,Debit
12/9/2026,Swiggy - Lunch,290,Debit
13/09/2026,Ola - Cab,250,Debit
14/09/2026,Myntra - Clothes,699,Debit
15/09/2026,Freelance Income,5000,Credit
16/09/2026,Spotify Premium,119,Debit
17/09/2026,Internet Bill,699,Debit
18/09/2026,Zomato - Burger,320,Debit
19/09/2026,Amazon - Headphones,1499,Debit
20/09/2026,PVR Movie,350,Debit
21/09/2026,Restaurant - Birthday,4500,Debit
,spandan,1000000,debit
